date,sire,dam,nr_offspring
2021/10/01,M2-104,F2-101,13
2021/10/01,M2-297,F2-121,9
2021/10/01,M2-281,F2-127,13
2021/10/01,M2-405,F2-143,20
2021/10/01,M2-343,F2-146,17
2021/10/01,M2-397,F2-151,7
2021/10/04,M2-293,F2-123,12
2021/10/04,M2-345,F2-136,11
2021/10/04,M2-141,F2-141,16
2021/10/04,M2-419,F2-155,18
2021/10/04,M2-304,F2-107,10
2021/10/04,M2-421,F2-110,12
2021/10/04,M2-329,F2-112,11
2021/10/04,M2-268,F2-116,8
2021/10/04,M2-396,F2-118,16
2021/10/05,M2-203,F2-152,10
2021/10/05,M2-203,F2-153,14
2021/10/05,M2-151,F2-156,6
2021/10/07,M2-390,F2-88,7
2021/10/07,M2-225,F2-94,9
2021/10/07,M2-279,F2-99,9
2021/10/08,M2-336,F2-135,13
2021/10/08,M2-250,F2-122,9
2021/10/08,M2-343,F2-147,7
2021/10/08,M2-184,F2-158,9
2021/10/08,M2-184,F2-159,8
2021/10/11,M2-396,F2-119,14
2021/10/11,M2-278,F2-84,13
2021/10/11,M2-274,F2-85,12
2021/10/11,M2-369 ,F2-138,8
2021/10/11,M2-237,F2-130,5
2021/10/12,M2-393,F2-95,17
2021/10/12,M2-107,F2-102,7
2021/10/16,M2-342,F2-131,6
2021/10/16,M2-397,F2-150,13
2021/10/16,M2-198,F2-144,6
2021/11/08,M3-233,F3-96,4
2021/11/08,M3-246,F3-153,5
2021/11/08,M3-177,F3-145,4
2021/11/10,M3-290,F3-83,2
2021/11/10,M3-132,F3-84,6
2021/11/10,M3-202,F3-106,7
2021/11/10,M3-191,F3-142,3
2021/11/10,M3-326,F3-117,6
2021/11/12,M3-127,F3-81,4
2021/11/12,M3-199,F3-87,6
2021/11/12,M3-104,F3-86,6
2021/11/12,M3-307,F3-89,5
2021/11/12,M3-191,F3-141,4
2021/11/12,M3-239,F3-148,3
2021/11/12,M3-154,F3-159,10
2021/11/12,M3-204,F3-95,10
2021/11/15,M3-324,F3-100,24
2021/11/15,M3-202,F3-107,4
2021/11/15,M3-305,F3-104,5
2021/11/15,M3-130,F3-112,5
2021/11/15,M3-236,F3-129,8
2021/11/15,M3-314,F3-134,7
2021/11/15,M3-245,F3-138,8
2021/11/15,M3-205,F3-132,9
2021/11/16,M3-364,F3-127,11
2021/11/16,M3-239,F3-147,4
2021/11/16,M3-175,F3-130,10
2021/11/17,M3-333,F3-93,5
2021/11/17,M3-193,F3-122,11
2021/11/17,M3-378,F3-151,17
2021/11/18,M3-361,F3-128,11
2021/11/18,M3-153,F3-156,11
2021/11/19,M3-356,F3-121,13
2021/11/22,M3-291,F3-92,9
2021/11/22,M3-339,F3-94,4
2021/11/22,M3-203,F3-114,8
2021/11/22,M3-297,F3-118,7
2021/11/22,M3-263,F3-120,7
2021/11/22,M3-161,F3-123,9
2021/11/22,M3-355,F3-126,8
2021/11/22,M3-107,F3-131,14
2021/11/22,M3-262,F3-136,6
2021/11/22,M3-144,F3-137,10
2021/11/22,M3-154,F3-160,21
2021/11/22,M3-153,F3-155,17
2021/11/22,M3-378,F3-152,10
2021/11/23,M3-130,F3-113,18
2021/11/24,M3-171,F3-103,11
2021/11/24,M3-237,F3-150,10
2021/11/25,M3-189,F3-90,9
2021/11/25,M3-374,F3-97,7
2021/11/25,M3-324,F3-101,8
2021/11/25,M3-306,F3-109,14
2021/11/25,M3-237,F3-149,12
2021/11/26,M3-390,F3-98,15
2021/11/26,M3-235,F3-144,3
2021/11/29,M3-158,F3-124,10
2021/11/29,M3-354,F3-133,14
2021/11/29,M3-177,F3-146,13
2021/11/29,M3-246,F3-154,14
2021/11/29,M3-305,F3-105,14
2021/11/29,M3-263,F3-119,9
2021/11/30,M3-265,F3-158,13
2021/12/01,M3-241,F3-139,9
2021/12/01,M3-177,F3-145,12
2021/12/02,M3-290,F3-83,11
2021/12/03,M3-328,F3-85,8
2021/12/03,M3-191,F3-141,8
2021/12/03,M3-233,F3-96,15
2021/12/06,M3-393,F3-82,5
2021/12/06,M3-127,F3-81,9
2021/12/06,M3-132,F3-84,8
2021/12/06,M3-202,F3-106,13
2021/12/06,M3-326,F3-117,15
2021/12/06,M3-191,F3-142,16
2021/12/08,M3-205,F3-132,11
2021/12/08,M3-154,F3-159,17
2021/12/08,M3-329,F3-88,9
2021/12/10,M3-239,F3-148,10
2021/12/10,M3-104,F3-86,6
2021/12/10,M3-199,F3-87,11
2021/12/10,M3-307,F3-89,7
2021/12/10,M3-204,F3-95,11
2021/12/10,M3-202,F3-107,4
2021/12/10,M3-130,F3-112,18
2021/12/13,M3-136,F3-91,5
2021/12/14,M3-171,F3-102,10
2022/01/07,M1-673,F1-183,3
2022/01/10,M1-539,F1-166,6
2022/01/10,M1-556,F1-189,4
2022/01/12,M1-520,F1-168,9
2022/01/12,M1-596,F1-169,4
2022/01/12,M1-806,F1-180,4
2022/01/12,M1-585,F1-198,10
2022/01/12,M1-782,F1-225,8
2022/01/13,M1-780,F1-237,3
2022/01/13,M1-549,F1-161,8
2022/01/14,M1-723,F1-191,5
2022/01/14,M1-523,F1-172,8
2022/01/17,M1-594,F1-162,8
2022/01/17,M1-753,F1-165,5
2022/01/17,M1-676,F1-175,4
2022/01/17,M1-494,F1-187,9
2022/01/17,M1-556,F1-190,4
2022/01/17,M1-716,F1-211,5
2022/01/17,M1-647,F1-217,5
2022/01/17,M1-810,F1-223,4
2022/01/17,M1-671,F1-230,5
2022/01/17,M1-780,F1-238,5
2022/01/18,M1-559,F1-163,7
2022/01/18,M1-573,F1-194,14
2022/01/18,M1-793,F1-182,10
2022/01/18,M1-818,F1-218,9
2022/01/18,M1-671,F1-229,5
2022/01/18,M1-612,F1-234,6
2022/01/18,M1-832,F1-240,5
2022/01/19,M1-717,F1-219,3
2022/01/19,M1-810,F1-224,9
2022/01/19,M1-782,F1-226,3
2022/01/19,M1-794,F1-173,10
2022/01/21,M1-679,F1-202,8
2022/01/21,M1-799,F1-207,12
2022/01/21,M1-578,F1-206,5
2022/01/21,M1-842,F1-213,8
2022/01/21,M1-459,F1-228,10
2022/01/21,M1-612,F1-233,5
2022/01/21,M1-525,F1-176,4
2022/01/21,M1-673,F1-184,6
2022/01/21,M1-619,F1-210,6
2022/01/21,M1-615,F1-216,6
2022/01/24,M1-696,F1-164,5
2022/01/24,M1-504,F1-179,4
2022/01/24,M1-573,F1-193,7
2022/01/24,M1-505,F1-200,4
2022/01/24,M1-607,F1-209,8
2022/01/24,M1-719,F1-220,9
2022/01/27,M1-579,F1-221,11
2022/01/31,M1-663,F1-167,10
2022/01/31,M1-821,F1-177,3
2022/01/31,M1-833,F1-178,7
2022/01/31,M1-728,F1-185,11
2022/01/31,M1-728,F1-186,8
2022/01/31,M1-450,F1-203,8
2022/01/31,M1-761,F1-212,14
2022/01/31,M1-579,F1-222,3
2022/01/31,M1-459,F1-227,7
2022/02/01,M1-577,F1-205,4
2022/02/01,M1-692,F1-235,6
2022/02/01,M1-725,F1-174,9
2022/02/01,M1-772,F1-214,3
2022/02/02,M1-797,F1-215,10
2022/02/02,M1-673,F1-183,10
2022/02/02,M1-805,F1-196,11
2022/02/04,M1-806,F1-180,6
2022/02/04,M1-723,F1-192,11
2022/02/04,M1-832,F1-239,6
2022/02/04,M1-780,F1-237,6
2022/02/07,M1-539,F1-166,8
2022/02/07,M1-494,F1-188,16
2022/02/07,M1-556,F1-189,13
2022/02/07,M1-585,F1-198,16
2022/02/09,M1-596,F1-169,3
2022/02/09,M1-723,F1-191,5
2022/02/09,M1-519,F1-204,5
2022/02/10,M1-716,F1-211,8
2022/02/10,M1-782,F1-225,8
2022/02/11,M1-505,F1-199,4
2022/02/11,M1-810,F1-223,4
2022/02/14,M1-647,F1-217,5
2022/02/14,M1-818,F1-218,6
2022/02/14,M1-782,F1-226,5
2022/02/14,M1-832,F1-240,6
2022/02/14,M1-600,F1-170,7
2022/02/14,M1-676,F1-175,3
2022/02/14,M1-556,F1-190,4
2022/02/14,M1-559,F1-163,7
2022/02/14,M1-780,F1-238,5
2022/03/14,M2-479,F2-208,4
2022/03/14,M2-584,F2-173,4
2022/03/14,M2-579,F2-196,3
2022/03/15,M2-718,F2-161,3
2022/03/15,M2-583,F2-166,7
2022/03/16,M2-620,F2-233,11
2022/03/18,M2-768,F2-205,10
2022/03/18,M2-529,F2-212,4
2022/03/21,M2-437,F2-168,12
2022/03/21,M2-717,F2-180,8
2022/03/21,M2-431,F2-189,6
2022/03/21,M2-435,F2-190,9
2022/03/21,M2-726,F2-199,10
2022/03/21,M2-607,F2-207,12
2022/03/21,M2-767,F2-213,7
2022/03/21,M2-501,F2-215,8
2022/03/21,M2-549,F2-217,12
2022/03/21,M2-585,F2-218,8
2022/03/21,M2-689,F2-231,5
2022/03/21,M2-759,F2-223,8
2022/03/21,M2-743,F2-239,11
2022/03/21,M2-501,F3-215,8
2022/03/22,M2-455,F2-163,9
2022/03/22,M2-544,F2-170,11
2022/03/22,M2-754,F2-175,3
2022/03/22,M2-465,F2-178,6
2022/03/22,M2-431,F2-188,10
2022/03/22,M2-651,F2-214,6
2022/03/22,M2-478,F2-227,11
2022/03/22,M2-689,F2-232,5
2022/03/23,M2-700,F2-201,9
2022/03/23,M2-526,F2-220,10
2022/03/23,M2-502,F2-235,7
2022/03/25,M2-621,F2-202,9
2022/03/25,M2-658,F2-211,13
2022/03/25,M2-762,F2-219,10
2022/03/25,M2-759,F2-224,7
2022/03/28,M2-608,F2-193,7
2022/03/28,M2-428,F2-194,8
2022/03/28,M2-672,F2-203,9
2022/03/28,M2-598,F2-210,8
2022/03/28,M2-734,F2-216,7
2022/03/28,M2-472,F2-226,6
2022/03/28,M2-743,F2-240,9
2022/03/30,M2-438,F2-167,8
2022/03/30,M2-432,F2-169,6
2022/03/30,M2-435,F2-191,5
2022/04/01,M2-728,F2-172,7
2022/04/01,M2-498,F2-209,19
2022/04/01,M2-697,F2-222,8
2022/04/04,M2-726,F2-200,8
2022/04/04,M2-654,F2-186,7
2022/04/04,M2-713,F2-198,8
2022/04/04,M2-502,F2-236,9
2022/04/04,M2-667,F2-237,6
2022/04/05,M2-454,F2-164,8
2022/04/06,M2-472,F2-225,8
2022/04/06,M2-584,F2-173,8
2022/04/06,M2-717,F2-181,6
2022/04/06,M2-710,F2-182,6
2022/04/06,M2-710,F2-183,9
2022/04/07,M2-565,F2-176,8
2022/04/08,M2-605,F2-171,9
2022/04/08,M2-479,F2-208,10
2022/04/08,M2-620,F2-234,8
2022/04/11,M2-759,F2-223,8
2022/04/11,M2-597,F2-230,9
2022/04/11,M2-620,F2-233,9
2022/04/11,M2-718,F2-161,6
2022/04/11,M2-437,F2-168,5
2022/04/11,M2-579,F2-196,9
2022/04/12,M2-529,F2-212,11
2022/04/12,M2-667,F2-238,3
2022/04/13,M2-501,F2-215,8
2022/04/14,M2-768,F2-205,7
2022/04/14,M2-583,F2-166,7
2022/04/15,M2-431,F2-189,6
2022/04/15,M2-583,F2-166,7
2022/04/15,M2-549,F2-217,6
2022/04/15,M2-767,F2-213,7
2022/04/18,M2-651,F2-214,9
2022/04/18,M2-689,F2-231,9
2022/04/18,M2-654,F2-187,3
2022/04/18,M2-754,F2-175,7
2022/04/18,M2-544,F2-170,9
2022/04/18,M2-717,F2-180,12
2022/04/18,M2-431,F2-188,7
2022/04/18,M2-435,F2-190,14
2022/05/12,M3-418,F3-164,7
2022/05/13,M3-460,F3-202,8
2022/05/16,M3-551,F3-180,9
2022/05/16,M3-559,F3-188,3
2022/05/16,M3-674,F3-198,6
2022/05/16,M3-699,F3-207,4
2022/05/17,M3-654,F3-162,8
2022/05/17,M3-543,F3-194,4
2022/05/17,M3-518,F3-215,10
2022/05/17,M3-695,F3-220,18
2022/05/18,M3-591,F3-174,8
2022/05/18,M3-511,F3-205,3
2022/05/19,M3-528,F3-209,11
2022/05/19,M3-686,F3-212,7
2022/05/19,M3-481,F3-221,23
2022/05/19,M3-705,F3-227,5
2022/05/19,M3-703,F3-231,8
2022/05/19,M3-724,F3-238,9
2022/05/19,M3-603,F3-175,6
2022/05/19,M3-633,F3-176,5
2022/05/19,M3-427,F3-184,12
2022/05/20,M3-733,F3-166,5
2022/05/20,M3-603,F3-175,11
2022/05/20,M3-516,F3-216,9
2022/05/20,M3-521,F3-183,5
2022/05/20,M3-680,F3-199,6
2022/05/23,M3-481,F3-222,7
2022/05/23,M3-576,F3-229,10
2022/05/23,M3-549,F3-161,12
2022/05/23,M3-400,F3-169,5
2022/05/23,M3-629,F3-172,11
2022/05/23,M3-551,F3-181,21
2022/05/23,M3-566,F3-192,4
2022/05/23,M3-566,F3-193,5
2022/05/23,M3-660,F3-196,8
2022/05/24,M3-659,F3-165,11
2022/05/24,M3-596,F3-177,13
2022/05/24,M3-515,F3-208,10
2022/05/25,M3-514,F3-206,11
2022/05/25,M3-730,F3-223,10
2022/05/25,M3-703,F3-232,8
2022/05/26,M3-701,F3-240,10
2022/05/26,M3-559,F3-189,6
2022/05/27,M3-636,F3-211,13
2022/05/27,M3-574,F3-218,6
2022/05/30,M3-519,F3-163,5
2022/05/30,M3-679,F3-167,4
2022/05/30,M3-594,F3-173,7
2022/05/30,M3-398,F3-178,5
2022/05/30,M3-604,F3-190,10
2022/05/30,M3-495,F3-203,6
2022/05/30,M3-530,F3-214,10
2022/05/31,M3-505,F3-204,5
2022/05/31,M3-598,F3-217,8
2022/05/31,M3-730,F3-224,7
2022/05/31,M3-611,F3-225,11
2022/05/31,M3-607,F3-233,10
2022/05/31,M3-491,F3-168,9
2022/06/02,M3-622,F3-171,13
2022/06/02,M3-678,F3-186,8
2022/06/02,M3-614,F3-201,7
2022/06/02,M3-540,F3-179,9
2022/06/03,M3-678,F3-187,14
2022/06/03,M3-705,F3-228,8
2022/06/03,M3-607,F3-234,14
2022/06/06,M3-543,F3-194,13
2022/06/06,M3-543,F3-195,14
2022/06/06,M3-660,F3-197,8
2022/06/06,M3-731,F3-210,7
2022/06/07,M3-611,F3-226,8
2022/06/07,M3-682,F3-219,8
2022/06/07,M3-597,F3-170,14
2022/06/08,M3-511,F3-205,9
2022/06/08,M3-418,F3-164,12
2022/06/08,M3-559,F3-188,10
2022/06/08,M3-674,F3-198,13
2022/06/09,M3-551,F3-180,12
2022/06/10,M3-466,F3-213,8
2022/06/10,M3-680,F3-200,8
2022/06/13,M3-460,F3-202,12
2022/06/13,M3-699,F3-207,11
2022/06/13,M3-518,F3-215,7
2022/06/13,M3-521,F3-182,4
2022/06/13,M3-427,F3-185,11
2022/06/13,M3-654,F3-162,8
2022/06/14,M3-576,F3-230,7
2022/06/14,M3-566,F3-193,5
